gymnast_first_name,gymnast_last_name,comp_number,competition,score_type,score
Skye,Blakely,589,World Championships 2022,vault_d,NA
Skye,Blakely,589,World Championships 2022,vault_e,NA
Skye,Blakely,589,World Championships 2022,vault_score,NA
Skye,Blakely,589,World Championships 2022,bars_d,5.5
Skye,Blakely,589,World Championships 2022,bars_e,7.066
Skye,Blakely,589,World Championships 2022,bars_score,12.566
Skye,Blakely,589,World Championships 2022,beam_d,6
Skye,Blakely,589,World Championships 2022,beam_e,7.733
Skye,Blakely,589,World Championships 2022,beam_score,13.733
Skye,Blakely,589,World Championships 2022,floor_d,5.7
Skye,Blakely,589,World Championships 2022,floor_e,7.9
Skye,Blakely,589,World Championships 2022,floor_score,13.6
Skye,Blakely,589,World Championships 2022,aa_score,NA
Jade,Carey,590,World Championships 2022,vault_d,5.6
Jade,Carey,590,World Championships 2022,vault_e,9
Jade,Carey,590,World Championships 2022,vault_score,14.6
Jade,Carey,590,World Championships 2022,bars_d,5.4
Jade,Carey,590,World Championships 2022,bars_e,7.933000000000001
Jade,Carey,590,World Championships 2022,bars_score,13.333
Jade,Carey,590,World Championships 2022,beam_d,5.4
Jade,Carey,590,World Championships 2022,beam_e,7.733
Jade,Carey,590,World Championships 2022,beam_score,13.133
Jade,Carey,590,World Championships 2022,floor_d,6.1
Jade,Carey,590,World Championships 2022,floor_e,7.966
Jade,Carey,590,World Championships 2022,floor_score,14.066
Jade,Carey,590,World Championships 2022,aa_score,55.132000000000005
Jordan,Chiles,591,World Championships 2022,vault_d,5
Jordan,Chiles,591,World Championships 2022,vault_e,9.466
Jordan,Chiles,591,World Championships 2022,vault_score,14.466
Jordan,Chiles,591,World Championships 2022,bars_d,5.9
Jordan,Chiles,591,World Championships 2022,bars_e,8.166
Jordan,Chiles,591,World Championships 2022,bars_score,14.066
Jordan,Chiles,591,World Championships 2022,beam_d,5.2
Jordan,Chiles,591,World Championships 2022,beam_e,6.1659999999999995
Jordan,Chiles,591,World Championships 2022,beam_score,11.366
Jordan,Chiles,591,World Championships 2022,floor_d,5.8
Jordan,Chiles,591,World Championships 2022,floor_e,8.3
Jordan,Chiles,591,World Championships 2022,floor_score,14.1
Jordan,Chiles,591,World Championships 2022,aa_score,53.998000000000005
Shilese,Jones,592,World Championships 2022,vault_d,5
Shilese,Jones,592,World Championships 2022,vault_e,9.2
Shilese,Jones,592,World Championships 2022,vault_score,14.2
Shilese,Jones,592,World Championships 2022,bars_d,6.3
Shilese,Jones,592,World Championships 2022,bars_e,8.266
Shilese,Jones,592,World Championships 2022,bars_score,14.566
Shilese,Jones,592,World Championships 2022,beam_d,5.2
Shilese,Jones,592,World Championships 2022,beam_e,8
Shilese,Jones,592,World Championships 2022,beam_score,13.2
Shilese,Jones,592,World Championships 2022,floor_d,5.7
Shilese,Jones,592,World Championships 2022,floor_e,8.1
Shilese,Jones,592,World Championships 2022,floor_score,13.8
Shilese,Jones,592,World Championships 2022,aa_score,55.76599999999999
Leanne,Wong,593,World Championships 2022,vault_d,5
Leanne,Wong,593,World Championships 2022,vault_e,8.766
Leanne,Wong,593,World Championships 2022,vault_score,13.766
Leanne,Wong,593,World Championships 2022,bars_d,NA
Leanne,Wong,593,World Championships 2022,bars_e,NA
Leanne,Wong,593,World Championships 2022,bars_score,NA
Leanne,Wong,593,World Championships 2022,beam_d,NA
Leanne,Wong,593,World Championships 2022,beam_e,NA
Leanne,Wong,593,World Championships 2022,beam_score,NA
Leanne,Wong,593,World Championships 2022,floor_d,NA
Leanne,Wong,593,World Championships 2022,floor_e,NA
Leanne,Wong,593,World Championships 2022,floor_score,NA
Leanne,Wong,593,World Championships 2022,aa_score,NA
Simone,Biles,604,World Championships 2023,vault_d,6.4
Simone,Biles,604,World Championships 2023,vault_e,9.366
Simone,Biles,604,World Championships 2023,vault_score,15.266
Simone,Biles,604,World Championships 2023,bars_d,6
Simone,Biles,604,World Championships 2023,bars_e,8.4
Simone,Biles,604,World Championships 2023,bars_score,14.4
Simone,Biles,604,World Championships 2023,beam_d,6.3
Simone,Biles,604,World Championships 2023,beam_e,8.266
Simone,Biles,604,World Championships 2023,beam_score,14.566
Simone,Biles,604,World Championships 2023,floor_d,6.7
Simone,Biles,604,World Championships 2023,floor_e,7.933000000000001
Simone,Biles,604,World Championships 2023,floor_score,14.633
Simone,Biles,604,World Championships 2023,aa_score,58.864999999999995
Skye,Blakely,605,World Championships 2023,vault_d,NA
Skye,Blakely,605,World Championships 2023,vault_e,NA
Skye,Blakely,605,World Championships 2023,vault_score,NA
Skye,Blakely,605,World Championships 2023,bars_d,5.9
Skye,Blakely,605,World Championships 2023,bars_e,8.232999999999999
Skye,Blakely,605,World Championships 2023,bars_score,14.133
Skye,Blakely,605,World Championships 2023,beam_d,6
Skye,Blakely,605,World Championships 2023,beam_e,5.866
Skye,Blakely,605,World Championships 2023,beam_score,11.866
Skye,Blakely,605,World Championships 2023,floor_d,NA
Skye,Blakely,605,World Championships 2023,floor_e,NA
Skye,Blakely,605,World Championships 2023,floor_score,NA
Skye,Blakely,605,World Championships 2023,aa_score,NA
Shilese,Jones,607,World Championships 2023,vault_d,5
Shilese,Jones,607,World Championships 2023,vault_e,9.266
Shilese,Jones,607,World Championships 2023,vault_score,14.266
Shilese,Jones,607,World Championships 2023,bars_d,6.4
Shilese,Jones,607,World Championships 2023,bars_e,8.433
Shilese,Jones,607,World Championships 2023,bars_score,14.833
Shilese,Jones,607,World Championships 2023,beam_d,5.9
Shilese,Jones,607,World Championships 2023,beam_e,8.133
Shilese,Jones,607,World Championships 2023,beam_score,14.033
Shilese,Jones,607,World Championships 2023,floor_d,5.7
Shilese,Jones,607,World Championships 2023,floor_e,8.1
Shilese,Jones,607,World Championships 2023,floor_score,13.8
