gymnast_first_name,gymnast_last_name,rank,comp_number,gym,vault_d,vault_e,vault_nd,vault_score,bars_d,bars_e,bars_nd,bars_score,beam_d,beam_e,beam_nd,beam_score,floor_d,floor_e,floor_nd,floor_score,aa_score
Shilese,Jones,1,202,Ascend,5,9.55,0,14.55,6.3,8.55,0,14.850000000000001,5.5,8.2,0,13.7,5.7,8.4,0,14.1,57.2
Konnor,McClain,2,218,WOGA,5,9.4,0,14.4,5.6,7.7,0,13.3,6.4,8.4,0,14.8,5.8,8.1,0,13.9,56.4
Jordan,Chiles,3,220,World Champions,5,9.350000000000001,0,14.350000000000001,5.9,8.350000000000001,0,14.25,5.4,8.2,0,13.6,5.6,8.350000000000001,0,13.950000000000001,56.15
Kayla,DiCello,4,207,Hill's Gym,5,9.2,0,14.2,5.6,8.5,0,14.1,5.5,8.3,0,13.8,5.5,8.350000000000001,0,13.850000000000001,55.949999999999996
Jade,Carey,5,211,Oregon State,5.6,9.2,0,14.8,5.5,8.1,0,13.6,5.6,7.6,0,13.2,5.9,8.15,0,14.05,55.65
Skye,Blakely,6,217,WOGA,5,9.1,0,14.1,5.6,8.25,0,13.850000000000001,6.3,7.1499999999999995,0,13.450000000000001,5.4,8,-0.1,13.3,54.7
Katelyn,Rosen,7,215,Twin City Twisters,4.6,9.05,0,13.65,5.4,7.6499999999999995,0,13.05,5,7.6499999999999995,0,12.65,5.4,8.15,0,13.55,52.9
Elle,Mueller,8,214,Twin City Twisters,4.6,9.25,0,13.850000000000001,5.8,6.95,0,12.75,5.6,7.6499999999999995,0,13.25,4.8,8.15,0,12.950000000000001,52.8
Lexi,Zeiss,9,216,Twin City Twisters,5,8.4,0,13.4,5.6,8.3,0,13.9,5.2,7.1499999999999995,0,12.350000000000001,5,8.1,0,13.1,52.75
Katelyn,Jong,10,208,Metroplex Gym,5,8.950000000000001,0,13.950000000000001,5.8,6.4,0,12.2,5.5,7.7,0,13.2,5.6,7.5,0,13.1,52.449999999999996
Addison,Fatta,11,212,Prestige Gym,5,8.15,-0.1,13.05,5.4,8.15,0,13.55,4.8,7.6499999999999995,0,12.450000000000001,5.3,7.35,0,12.65,51.7
Amelia,Disidore,12,204,GAGE,5,9.3,0,14.3,4.9,6.6499999999999995,0,11.55,5.2,7.45,0,12.65,5.2,7.95,0,13.15,51.65
Marissa,Neal,13,205,GAGE,4.6,9.05,0,13.65,5.3,7.05,0,12.350000000000001,5.1,8.05,0,13.15,4.9,7.45,0,12.350000000000001,51.5
Nola,Matthews,14,201,Airborne,4.2,8.9,0,13.1,5.9,7.85,0,13.75,5.4,6.55,0,11.950000000000001,4.7,7.6499999999999995,0,12.350000000000001,51.15
Levi,Jung-Ruivivar,15,213,Twin City Twisters,4.6,8.5,0,13.1,5.1,6.95,0,12.05,5.1,8.05,0,13.15,4.8,7.95,0,12.75,51.05
Joscelyn,Roberson,16T,210,NE Texas Elite,5.2,8.55,0,13.75,4.4,6.5,0,10.9,6.1,7.1499999999999995,0,13.25,5.5,7.35,0,12.850000000000001,50.75
Brooke,Pierson,16T,219,WOGA,4.6,9.1,0,13.7,5.4,7.6499999999999995,0,13.05,4.9,7.1499999999999995,0,12.05,4.7,7.25,0,11.950000000000001,50.75
Charlotte,Booth,18,203,Brandy Johnson's,5,8.6,-0.1,13.5,5.9,6.4,0,12.3,5.2,7.5,0,12.7,4.8,7.3,0,12.1,50.6
Ciena,Alipio,19,209,Midwest Gym,4.6,7.6499999999999995,-0.3,11.950000000000001,4.5,7.85,0,12.350000000000001,5.7,7.9,0,13.6,4.5,7.55,-0.1,11.950000000000001,49.849999999999994
Leanne,Wong,20,206,GAGE,0,0,0,0,5.7,8.5,0,14.2,5.5,7.6499999999999995,0,13.15,0,0,0,0,27.35
Olivia,Greaves,21,221,World Champions,0,0,0,0,5.4,8.2,0,13.6,0,0,0,0,0,0,0,0,13.6
